,TEMPERATURE
2015-04-14 00:00:00,23.31647263625321
2015-04-14 01:00:00,22.59816202341704
2015-04-14 02:00:00,22.049430284208817
2015-04-14 03:00:00,21.500594881433805
2015-04-14 04:00:00,20.951947565339896
2015-04-14 05:00:00,20.405156217257527
2015-04-14 06:00:00,19.856452011806542
2015-04-14 07:00:00,19.31000432672038
2015-04-14 08:00:00,18.76759440089076
2015-04-14 09:00:00,18.35035455944769
2015-04-14 10:00:00,18.32480375954841
2015-04-14 11:00:00,18.444713572464156
2015-04-14 12:00:00,18.9473436945402
2015-04-14 13:00:00,21.2476847894846
2015-04-14 14:00:00,23.826610512445317
2015-04-14 15:00:00,26.254919103812757
2015-04-14 16:00:00,26.93573431289865
2015-04-14 17:00:00,27.019001901612043
2015-04-14 18:00:00,27.191039550118195
2015-04-14 19:00:00,26.89554636225588
2015-04-14 20:00:00,26.40593925793692
2015-04-14 21:00:00,25.945967947280792
2015-04-14 22:00:00,25.39474973047686
2015-04-14 23:00:00,24.82694961659947
2015-04-15 00:00:00,24.26936648228871
2015-04-15 01:00:00,23.71419799825909
2015-04-15 02:00:00,23.16114434543484
2015-04-15 03:00:00,22.608264330298603
2015-04-15 04:00:00,22.055907072525702
2015-04-15 05:00:00,21.50157878087256
2015-04-15 06:00:00,20.950266092844263
2015-04-15 07:00:00,20.398612146133964
2015-04-15 08:00:00,19.844497954850848
2015-04-15 09:00:00,19.30406610893637
2015-04-15 10:00:00,19.171049133320032
2015-04-15 11:00:00,19.157913505011848
2015-04-15 12:00:00,19.77062362621037
2015-04-15 13:00:00,21.64151749158235
2015-04-15 14:00:00,23.75898635122112
2015-04-15 15:00:00,25.859830120756992
2015-04-15 16:00:00,26.562279556064777
2015-04-15 17:00:00,26.820206714813907
2015-04-15 18:00:00,26.904910583951853
2015-04-15 19:00:00,26.40308661391053
2015-04-15 20:00:00,25.755660837810467
2015-04-15 21:00:00,25.105331277952423
2015-04-15 22:00:00,24.57319850167959
2015-04-15 23:00:00,24.086621973511733
2015-04-16 00:00:00,23.609187716512015
2015-04-16 01:00:00,23.12820225125557
2015-04-16 02:00:00,22.64592963858921
2015-04-16 03:00:00,22.16314039763265
2015-04-16 04:00:00,21.679135885102244
2015-04-16 05:00:00,21.19642021279349
2015-04-16 06:00:00,20.71342514515432
2015-04-16 07:00:00,20.231818222531174
2015-04-16 08:00:00,19.745874457766973
2015-04-16 09:00:00,19.2330906072098
2015-04-16 10:00:00,18.963306789301683
2015-04-16 11:00:00,18.896393500668047
2015-04-16 12:00:00,19.18824298675884
2015-04-16 13:00:00,20.294537999190236
2015-04-16 14:00:00,21.701403010268795
2015-04-16 15:00:00,23.029267056478883
2015-04-16 16:00:00,23.763922645866494
2015-04-16 17:00:00,24.182545107552503
2015-04-16 18:00:00,24.531322107195983
2015-04-16 19:00:00,24.36670936723312
2015-04-16 20:00:00,24.036931085722063
2015-04-16 21:00:00,23.68979207271032
2015-04-16 22:00:00,23.054153157954488
2015-04-16 23:00:00,22.344476814727027
2015-04-17 00:00:00,21.65928964040032
2015-04-17 01:00:00,21.13010716881173
2015-04-17 02:00:00,20.63770167537602
2015-04-17 03:00:00,20.146969476595284
2015-04-17 04:00:00,19.65677069766992
2015-04-17 05:00:00,19.166575126265144
2015-04-17 06:00:00,18.6763789457771
2015-04-17 07:00:00,18.185827495275785
2015-04-17 08:00:00,17.6938700580861
2015-04-17 09:00:00,17.24268725378859
2015-04-17 10:00:00,16.901611228164924
2015-04-17 11:00:00,16.558378344122772
2015-04-17 12:00:00,16.123782756596448
2015-04-17 13:00:00,16.397624310516857
2015-04-17 14:00:00,16.81338104341532
2015-04-17 15:00:00,17.163977414332223
2015-04-17 16:00:00,17.69452281250644
2015-04-17 17:00:00,18.28195063172908
2015-04-17 18:00:00,18.775653199521244
2015-04-17 19:00:00,19.14479187451808
2015-04-17 20:00:00,18.89964208799497
2015-04-17 21:00:00,18.408032933308125
2015-04-17 22:00:00,17.502215150040158
2015-04-17 23:00:00,16.491781038049616
2015-04-18 00:00:00,15.526137204561865
2015-04-18 01:00:00,15.046785871988805
2015-04-18 02:00:00,14.684468409660903
2015-04-18 03:00:00,14.319889971624264
2015-04-18 04:00:00,13.955650184654369
2015-04-18 05:00:00,13.594157370540444
2015-04-18 06:00:00,13.229917852521186
2015-04-18 07:00:00,12.863424461770522
2015-04-18 08:00:00,12.50356488897928
2015-04-18 09:00:00,12.23638176339226
2015-04-18 10:00:00,12.514521014084515
2015-04-18 11:00:00,13.253990094170112
